"Index"	"Age_grp2"	"Variable"	"Body_Site"	"Year"	"Df"	"SumOfSqs"	"R2"	"F"	"Pr(>F)"	"Omega2_partial"	"p.disp"
"bc"	"Age_8-18"	"Gender"	"Mouth"	"2016"	1	0.211246941815785	0.0352648655080748	1.23159502078581	0.225	0.00657350371588846	NA
"bc"	"Age_8-18"	"Gender"	"Nose"	"2015"	1	0.268246245650134	0.0284722813103586	0.861728992625179	0.584	-0.00448033897931847	NA
"bc"	"Age_8-18"	"Gender"	"Nose"	"2016"	1	0.419971681291372	0.0452994074346299	1.50848595459004	0.127	0.0151748412410853	NA
"bc"	"Age_8-18"	"Gender"	"Right_Arm"	"2015"	1	0.339202755830176	0.0344205100810425	1.49091292009	0.028	0.0124310349847663	NA
"bc"	"Age_8-18"	"Gender"	"Right_Arm"	"2016"	1	0.414236669469385	0.0744252014095065	1.51630070354454	0.001	0.0251653897554417	NA
"bc"	"Age_8-18"	"Gender"	"Right_Hand"	"2015"	1	0.277261144775885	0.0267397770986225	1.11907619779877	0.266	0.00304394196827861	NA
"bc"	"Age_8-18"	"Gender"	"Right_Hand"	"2016"	1	0.342246795975944	0.0365509467604478	1.20008118675449	0.166	0.00621368578526415	NA
"uu"	"Adults"	"Expo"	"Feces"	"2015"	1	0.30576435050468	0.0362924151910266	2.18582490365086	0.002	0.0193807128614866	0.212
"uu"	"Adults"	"Expo"	"Feces"	"2016"	1	0.21448680200198	0.0196503628977928	1.48371146100045	0.045	0.00632437223247333	0.082
"uu"	"Adults"	"Expo"	"Mouth"	"2015"	1	0.756570534846944	0.0947021039789246	6.50452014475053	0.001	0.0791965779101385	0.629
"uu"	"Adults"	"Expo"	"Mouth"	"2016"	1	0.567722147789471	0.0650236964504316	4.38245060691747	0.001	0.050197797445055	0.593
"uu"	"Adults"	"Expo"	"Nose"	"2015"	1	0.603518317973919	0.0463767170458313	2.63549843525756	0.001	0.0283765817883006	0.63
"uu"	"Adults"	"Expo"	"Nose"	"2016"	1	0.288270466149319	0.0216154584176747	1.24635416723916	0.094	0.00422952081312798	0.167
"uu"	"Adults"	"Expo"	"Right_Arm"	"2015"	1	0.95946125308083	0.0649437514090411	4.37975497161394	0.001	0.0494262515713453	0.734
"uu"	"Adults"	"Expo"	"Right_Arm"	"2016"	1	0.370134124336642	0.053798863499397	1.6202147992395	0.002	0.0202550766970746	0.969
"uu"	"Adults"	"Expo"	"Right_Hand"	"2015"	1	1.08991860904271	0.074841650053757	5.12644036034532	0.001	0.0596940959036055	0.86
"uu"	"Adults"	"Expo"	"Right_Hand"	"2016"	1	0.589758716273755	0.0604227508368109	2.64446091013553	0.001	0.0368346011265688	0.752
"uu"	"Adults"	"Gender"	"Feces"	"2015"	1	0.150402223236905	0.0178518519976503	1.07518395971623	0.288	0.00125149778595172	NA
"uu"	"Adults"	"Gender"	"Feces"	"2016"	1	0.15076086501716	0.0138120652679832	1.0428875865949	0.35	0.000563992083362937	NA
"uu"	"Adults"	"Gender"	"Mouth"	"2015"	1	0.0867703193239082	0.0108612897600613	0.745996921652488	0.762	-0.00398461222058691	NA
"uu"	"Adults"	"Gender"	"Mouth"	"2016"	1	0.149663013824682	0.0171415584519378	1.15530241038315	0.28	0.00242072602806431	NA
"uu"	"Adults"	"Gender"	"Nose"	"2015"	1	0.272408247899463	0.0209329192793947	1.18957700157382	0.122	0.00337388198470525	NA
"uu"	"Adults"	"Gender"	"Nose"	"2016"	1	0.314236877226049	0.0235625044900066	1.35862145943192	0.033	0.00614513246652366	NA
"uu"	"Adults"	"Gender"	"Right_Arm"	"2015"	1	0.220442413092885	0.0149212458866302	1.00627696178242	0.398	9.65593182042122e-05	NA
"uu"	"Adults"	"Gender"	"Right_Arm"	"2016"	1	0.336127554330939	0.0488560206283206	1.47135538755093	0.006	0.0154688028004001	NA
"uu"	"Adults"	"Gender"	"Right_Hand"	"2015"	1	0.295171569919164	0.0202686027731109	1.3883416951557	0.025	0.00593900510531635	NA
"uu"	"Adults"	"Gender"	"Right_Hand"	"2016"	1	0.242733287009081	0.0248688362139303	1.08840899061213	0.226	0.00205180448021168	NA
"uu"	"Age_0-3"	"Expo"	"Feces"	"2015"	1	0.319439145364673	0.0734133880038768	1.83134898224966	0.041	0.032183723073113	0.545
"uu"	"Age_0-3"	"Expo"	"Feces"	"2016"	1	0.32321294454407	0.0833693298438778	1.66133448875792	0.08	0.0320083143282813	0.949
"uu"	"Age_0-3"	"Expo"	"Mouth"	"2015"	1	0.24104418210775	0.0517608452891772	1.63437900356407	0.113	0.0194389788601398	0.571
"uu"	"Age_0-3"	"Expo"	"Mouth"	"2016"	1	0.403415775378893	0.119397472404969	2.93113104932319	0.026	0.0774586217329122	0.201
"uu"	"Age_0-3"	"Expo"	"Nose"	"2015"	1	0.382962220848222	0.0687480514604817	1.77403285044712	0.037	0.0289098341953439	0.078
