Factor	Coefficient	Sum Sq	Df	F value	p_value	Omega2_partial	CI	CI_low	CI_high	Body_Site	Indice	Year
ExpoC	0.598680777726023	7.38498692112156	1	12.9566688879968	0.000550989757965665	0.125917105433636	0.95	0.0224584661755529	0.268143599730415	Right_Arm	shannon	2016
Residuals	NA	45.5980590996694	80	NA	NA	NA	NA	NA	NA	Right_Arm	shannon	2016
(Intercept)	52.5402144952736	191507.044475475	1	1354.08907281086	5.50328473875762e-80	NA	NA	NA	NA	Right_Hand	faith_pd	2015
Age_num	-0.118852353374815	588.063172089231	1	4.15801892629853	0.0430833597101253	0.0188924165683665	0.95	0	0.0796806987100945	Right_Hand	faith_pd	2015
ExpoC	20.2493493274857	16154.7068837208	1	114.225103967442	1.84806752327699e-20	0.408422983153574	0.95	0.297168649542961	0.504775570471417	Right_Hand	faith_pd	2015
GenderC	-6.6186018163377	1760.84316312252	1	12.4503957159824	0.000545724706866851	0.0652628662891033	0.95	0.0111538142822027	0.150836072435489	Right_Hand	faith_pd	2015
Residuals	NA	22628.5904903362	160	NA	NA	NA	NA	NA	NA	Right_Hand	faith_pd	2015
(Intercept)	48.5429229302221	114959.820226387	1	526.572265086701	2.41000249803141e-44	NA	NA	NA	NA	Right_Hand	faith_pd	2016
Age_num	-0.136250509060854	545.273784873883	1	2.49762092031817	0.116813588656686	0.0126384049627901	0.95	0	0.0814827100296829	Right_Hand	faith_pd	2016
ExpoC	16.5182918537111	7877.5056254895	1	36.0828328739429	2.35314876040018e-08	0.230682399919668	0.95	0.108487707040471	0.356440690802468	Right_Hand	faith_pd	2016
GenderC	-5.43210736230798	809.153725918626	1	3.70632025538361	0.056720297768042	0.0226079980539866	0.95	0	0.10209231803653	Right_Hand	faith_pd	2016
Residuals	NA	24669.8516934666	113	NA	NA	NA	NA	NA	NA	Right_Hand	faith_pd	2016
(Intercept)	383.220599345466	10188230.5125984	1	1004.68560617351	7.30746598111403e-71	NA	NA	NA	NA	Right_Hand	observed_otus	2015
Age_num	-0.912407033508538	34656.5765612647	1	3.41756731822048	0.0663515612564866	0.0145271160802252	0.95	0	0.0711383528493661	Right_Hand	observed_otus	2015
ExpoC	149.13674956713	876286.829023431	1	86.4127252431725	1.04342474531702e-16	0.34245536253171	0.95	0.230195020018504	0.444592030262835	Right_Hand	observed_otus	2015
GenderC	-44.5665566985013	79837.389662833	1	7.87295459496403	0.00564115283394484	0.0402226005353254	0.95	0.00217459026060602	0.11527460140961	Right_Hand	observed_otus	2015
Residuals	NA	1622514.41844009	160	NA	NA	NA	NA	NA	NA	Right_Hand	observed_otus	2015
(Intercept)	373.926112607691	6821279.09048535	1	357.541915182574	8.51171946031351e-37	NA	NA	NA	NA	Right_Hand	observed_otus	2016
Age_num	-1.33040070399112	51988.0207398725	1	2.72498694970752	0.101565643434016	0.014529266281901	0.95	0	0.0857244977417061	Right_Hand	observed_otus	2016
ExpoC	135.026190238211	526374.061442683	1	27.5902492090022	7.13180051489025e-07	0.185181440630407	0.95	0.0732907850665902	0.310027904247684	Right_Hand	observed_otus	2016
GenderC	-50.5734085280464	70135.6455137795	1	3.67620686485921	0.0577189498062298	0.0223620628942663	0.95	0	0.101625885478584	Right_Hand	observed_otus	2016
Residuals	NA	2155843.84513699	113	NA	NA	NA	NA	NA	NA	Right_Hand	observed_otus	2016
(Intercept)	0.792005811904995	44.0641239389296	1	12661.295281707	5.73853350043212e-155	NA	NA	NA	NA	Right_Hand	pielou_e	2015
Age_num	-0.000597783147494462	0.014888084894523	1	4.27791187429325	0.0402099851666764	0.0195956049281423	0.95	0	0.0807537859843405	Right_Hand	pielou_e	2015
ExpoC	0.0247168809885393	0.0240836176375071	1	6.92013745201921	0.00935058194075075	0.0348407054089801	0.95	0.000881771670108023	0.106672737611878	Right_Hand	pielou_e	2015
Residuals	NA	0.560315812586533	161	NA	NA	NA	NA	NA	NA	Right_Hand	pielou_e	2015
(Intercept)	0.807893652433866	25.406390390599	1	2785.78909385162	1.84762684434218e-81	NA	NA	NA	NA	Right_Hand	pielou_e	2016
Age_num	-0.00276319915052369	0.0988798366741797	1	10.8420899771219	0.00132480480594929	0.0775932498344758	0.95	0.010132252644294	0.185751635994011	Right_Hand	pielou_e	2016
Residuals	NA	1.03055975072699	113	NA	NA	NA	NA	NA	NA	Right_Hand	pielou_e	2016
U1.Age_num	0.00855140276812969	0.03795641721523	1	4.16188885922951	NA	0.0263135748717606	0.95	0	0.10893692732103	Right_Hand	pielou_e	2016
(Intercept)	6.74613442577864	3157.26512644021	1	6519.53007326035	1.42667937040897e-131	NA	NA	NA	NA	Right_Hand	shannon	2015
Age_num	-0.00753930568185465	2.36630714739138	1	4.88625756538321	0.0284902826323835	0.023148157697599	0.95	0	0.0874486473986602	Right_Hand	shannon	2015
ExpoC	0.66539154792479	17.4434143544713	1	36.0194218445439	1.26345355787111e-08	0.175959821006303	0.95	0.0817837071448251	0.280536446945687	Right_Hand	shannon	2015
GenderC	-0.251744236400519	2.54745921558022	1	5.26032382497606	0.0231182667933889	0.0253198361213642	0.95	0	0.0912487564300744	Right_Hand	shannon	2015
Residuals	NA	77.4844834756328	160	NA	NA	NA	NA	NA	NA	Right_Hand	shannon	2015
(Intercept)	6.69153552510462	2184.46859624293	1	1905.74203238585	1.40795945566105e-72	NA	NA	NA	NA	Right_Hand	shannon	2016
Age_num	-0.0157570322081949	7.29268066571049	1	6.36217343536788	0.0130499927904223	0.0438221493197013	0.95	3.16031431188673e-05	0.137985429186671	Right_Hand	shannon	2016
ExpoC	0.666161664155279	12.8120234463779	1	11.1772774594559	0.0011237168219683	0.0800243381739353	0.95	0.0110998108811851	0.188933173394365	Right_Hand	shannon	2016
GenderC	-0.30686537058461	2.58220139563502	1	2.25272624390698	0.136168314402023	0.0105936352056959	0.95	0	0.0766355061355733	Right_Hand	shannon	2016
Residuals	NA	129.526949178121	113	NA	NA	NA	NA	NA	NA	Right_Hand	shannon	2016
