Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Residuals	2942.81568606628	160	NA	NA	NA	NA	NA	NA	2015	Mouth	faith_pd
(Intercept)	5396.88089763054	1	332.50967490334	3.88636961125797e-39	NA	NA	NA	NA	2016	Mouth	faith_pd
Age_num	506.740526163719	1	31.2210202172559	1.12691285663269e-07	0.179203520782526	0.95	0.0795178666855057	0.29000979729447	2016	Mouth	faith_pd
Expo	170.29767357528	1	10.4922871472247	0.00149069500555504	0.0683570969084643	0.95	0.0106055841759968	0.160527047687368	2016	Mouth	faith_pd
Gender	0.875568397640109	1	0.0539450413632013	0.816667587088019	0.000377095796607381	0.95	0	0.0275896571850355	2016	Mouth	faith_pd
Residuals	2320.9970313962	143	NA	NA	NA	NA	NA	NA	2016	Mouth	faith_pd
(Intercept)	28.4147976618266	1	3130.23846060834	5.77162601715043e-107	NA	NA	NA	NA	2015	Mouth	pielou_e
Age_num	0.00502210771751055	1	0.553246759585016	0.458084991976345	0.00344587712021456	0.95	0	0.0435562286739428	2015	Mouth	pielou_e
Expo	0.344712352357917	1	37.9742933959769	5.59766293524185e-09	0.191814264087423	0.95	0.0942713223038167	0.297244920155247	2015	Mouth	pielou_e
Gender	0.0207804023362723	1	2.28921618214801	0.132248460634503	0.0141057812466028	0.95	0	0.0702744890110501	2015	Mouth	pielou_e
Residuals	1.45240296645282	160	NA	NA	NA	NA	NA	NA	2015	Mouth	pielou_e
(Intercept)	20.8323820269038	1	2040.4595363462	1.56913500588686e-86	NA	NA	NA	NA	2016	Mouth	pielou_e
Age_num	0.00369498351043318	1	0.36191081417231	0.548399470344373	0.00252445584825822	0.95	0	0.0434218958757179	2016	Mouth	pielou_e
Expo	0.0103994478818317	1	1.01858983652541	0.314558415778041	0.00707262748289371	0.95	0	0.0581127331414645	2016	Mouth	pielou_e
Gender	0.00411106202458411	1	0.40266426094434	0.526730412670489	0.00280792733537801	0.95	0	0.0446012804535528	2016	Mouth	pielou_e
Residuals	1.45998025287074	143	NA	NA	NA	NA	NA	NA	2016	Mouth	pielou_e
(Intercept)	1094.15559258048	1	1522.39729817397	1.19106127066231e-83	NA	NA	NA	NA	2015	Mouth	shannon
Age_num	0.000171637333124863	1	0.000238814492186454	0.98768953589905	1.49258834834203e-06	0.95	0	0	2015	Mouth	shannon
Expo	29.8880444978546	1	41.5859302824795	1.27341288035066e-09	0.20629381338373	0.95	0.106041079643144	0.312246013529631	2015	Mouth	shannon
Gender	0.706344600819364	1	0.982800909814907	0.323005151855477	0.00610500565439588	0.95	0	0.0516537989930624	2015	Mouth	shannon
Residuals	114.992909553149	160	NA	NA	NA	NA	NA	NA	2015	Mouth	shannon
(Intercept)	767.376976345814	1	835.645294251956	1.36182172398214e-61	NA	NA	NA	NA	2016	Mouth	shannon
Age_num	3.25050876868335	1	3.53968445783925	0.0619495979167157	0.024155125425138	0.95	0	0.0939272510198421	2016	Mouth	shannon
Expo	0.0948225709894359	1	0.103258291138104	0.748423236786928	0.000721564920122428	0.95	0	0.030919426841664	2016	Mouth	shannon
Gender	0.112442482022942	1	0.122445725989749	0.726911731117287	0.000855531257648947	0.95	0	0.0336701913875553	2016	Mouth	shannon
