Factors	Sum Sq	Df	F value	p_value	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice	q_value
Age_num:Gender	249.069628009282	1	0.0853480548732974	0.770841614552046	0.000937011898136246	0.95	0	0.0477093254667407	2016	Feces	observed_otus	0.895583618566693
Expo	8143.19128316239	1	2.79040661052901	0.098266340844688	0.0297515141619586	0.95	0	0.127145210456196	2016	Feces	observed_otus	0.362033887322535
Expo:Gender	257.504721063364	1	0.0882384867199871	0.767105607354578	0.000968714382733965	0.95	0	0.0480843790118285	2016	Feces	observed_otus	0.895583618566693
Gender	14.792432071059	1	0.00506888501099468	0.943397919935652	5.56989305441815e-05	0.95	0	0.0176725463064409	2016	Feces	observed_otus	0.967587610190413
Residuals	265563.593481916	91	NA	NA	NA	NA	NA	NA	2016	Feces	observed_otus	NA
(Intercept)	3356.47023090702	1	425.64581432915	2.8125527161176e-36	NA	NA	NA	NA	2015	Mouth	faith_pd	5.25009840341952e-35
Age_num	0.41258598867455	1	0.0523214827031906	0.819579550501174	0.000568388519272944	0.95	0	0.0418937847733606	2015	Mouth	faith_pd	0.914317818240918
Age_num:Expo	0.0673193040289561	1	0.00853699809985604	0.926584415541817	9.27848477802918e-05	0.95	0	0.0229471846669447	2015	Mouth	faith_pd	0.967587610190413
Age_num:Gender	8.42394627049464	1	1.0682703028773	0.304045785359205	0.0114783513156607	0.95	0	0.0888873308697749	2015	Mouth	faith_pd	0.659944340314554
Expo	36.2570228865106	1	4.59788080036361	0.0346475987504029	0.0475981539374134	0.95	0	0.155943431248618	2015	Mouth	faith_pd	0.153989327779569
Expo:Gender	15.6587463015175	1	1.98574078194099	0.162158084961915	0.0211281069385638	0.95	0	0.11021980999096	2015	Mouth	faith_pd	0.472961081138919
Gender	6.24080061930056	1	0.79141791195038	0.375992062782938	0.00852899901477263	0.95	0	0.0811114916988899	2015	Mouth	faith_pd	0.691338891358484
Residuals	725.474680704029	92	NA	NA	NA	NA	NA	NA	2015	Mouth	faith_pd	NA
(Intercept)	1410.67462234372	1	139.773134549586	8.29491792207771e-19	NA	NA	NA	NA	2016	Mouth	faith_pd	8.29491792207771e-18
Age_num	4.10413326872754	1	0.406647686499256	0.52561804121649	0.00539272993794766	0.95	0	0.0819390308614757	2016	Mouth	faith_pd	0.79508281318534
Age_num:Expo	1.60535069796208	1	0.159062122158778	0.691154739394465	0.00211633990190363	0.95	0	0.0659941741340587	2016	Mouth	faith_pd	0.8695031436451
