Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Gender	124.294340784545	1	0.0418983455366732	0.838661555994355	0.000854337759143583	0.95	0	0.0716580692809738	2016	Feces	observed_otus
Residuals	145361.890080166	49	NA	NA	NA	NA	NA	NA	2016	Feces	observed_otus
Urban	610.775919251202	1	0.205886288536863	0.65201431127402	0.00418418006596961	0.95	0	0.103169661615846	2016	Feces	observed_otus
Urban:Gender	20.8526630898414	1	0.00702921853065285	0.933524893026825	0.000143432863463492	0.95	0	0.0384787108609714	2016	Feces	observed_otus
(Intercept)	1552.37285427246	1	180.47023511127	1.06304562631945e-18	NA	NA	NA	NA	2015	Mouth	faith_pd
Age_num	0.00324193551466578	1	0.000376889394153645	0.984584032425191	7.11107007673116e-06	0.95	0	0	2015	Mouth	faith_pd
Age_num:Gender	13.0171266954497	1	1.51329875985367	0.224068806696002	0.0277601758521379	0.95	0	0.161769623822373	2015	Mouth	faith_pd
Age_num:Urban	1.59831732929069	1	0.185811484274308	0.668173985062553	0.00349362882860681	0.95	0	0.0940048693238552	2015	Mouth	faith_pd
Gender	13.8945015591415	1	1.61529748232256	0.209298867790827	0.029575916579881	0.95	0	0.165301711055188	2015	Mouth	faith_pd
Residuals	455.896570565847	53	NA	NA	NA	NA	NA	NA	2015	Mouth	faith_pd
Urban	23.645997972567	1	2.74895222613885	0.103226135126386	0.0493094868400048	0.95	0	0.199597643618684	2015	Mouth	faith_pd
Urban:Gender	11.2398454093243	1	1.30668192119719	0.258133597921416	0.0240611629171761	0.95	0	0.154288953257552	2015	Mouth	faith_pd
(Intercept)	460.443092222809	1	44.7461879961459	4.53385775666152e-08	NA	NA	NA	NA	2016	Mouth	faith_pd
Age_num	0.7876132632382	1	0.0765408184863383	0.783431084408439	0.00186337059940285	0.95	0	0.0839080928270956	2016	Mouth	faith_pd
Age_num:Gender	21.8865072093618	1	2.12694637559076	0.152347405703152	0.0493182697672882	0.95	0	0.223454086254058	2016	Mouth	faith_pd
Age_num:Urban	1.49195474718545	1	0.144989226088763	0.705336443362657	0.00352386107800534	0.95	0	0.112155980522115	2016	Mouth	faith_pd
Gender	11.835559277178	1	1.15018808925873	0.289781980023203	0.0272878518791672	0.95	0	0.183866257145723	2016	Mouth	faith_pd
Residuals	421.894414397071	41	NA	NA	NA	NA	NA	NA	2016	Mouth	faith_pd
Urban	14.6488540756888	1	1.42358608364503	0.239672926051816	0.0335564768343299	0.95	0	0.196117319529707	2016	Mouth	faith_pd
Urban:Gender	1.02348001627502	1	0.0994625177184309	0.754075288850488	0.00242004424450932	0.95	0	0.103398980692763	2016	Mouth	faith_pd
(Intercept)	4.41886765095926	1	389.888173300111	4.27445679753707e-26	NA	NA	NA	NA	2015	Mouth	pielou_e
Age_num	0.0116972614823072	1	1.03207977069883	0.314286070555216	0.0191012408753979	0.95	0	0.143509280754083	2015	Mouth	pielou_e
Age_num:Gender	0.0181850297568369	1	1.60451242113173	0.210803415745481	0.0293842459164746	0.95	0	0.164932776109309	2015	Mouth	pielou_e
Age_num:Urban	0.00803027290788882	1	0.708531841744227	0.403713797140993	0.0131921655172397	0.95	0	0.129009398725978	2015	Mouth	pielou_e
Gender	0.0264576404923146	1	2.33442635901084	0.132488157937112	0.0421875948232486	0.95	0	0.187927867705563	2015	Mouth	pielou_e
Residuals	0.600685020831776	53	NA	NA	NA	NA	NA	NA	2015	Mouth	pielou_e
Urban	0.0029701021964923	1	0.26205983328187	0.610835092858085	0.00492019711783877	0.95	0	0.101396074826409	2015	Mouth	pielou_e
Urban:Gender	0.000132475375509866	1	0.0116886465593908	0.914313488357091	0.000220491873732254	0.95	0	0.0432348398930684	2015	Mouth	pielou_e
(Intercept)	1.72560748783846	1	138.567445077875	9.92305684121284e-15	NA	NA	NA	NA	2016	Mouth	pielou_e
Age_num	0.000555979080454683	1	0.0446454951304454	0.833704004361275	0.00108773007031434	0.95	0	0.0857956571546569	2016	Mouth	pielou_e
Age_num:Gender	0.00754007022467129	1	0.605472724303728	0.440965006620184	0.0145527183002068	0.95	0	0.154441953867393	2016	Mouth	pielou_e
