gene_by_taxon	geneID	taxon	term	Estimate	Std.Error	t.value	p.value	fdr
K01588 msi	K01588	msi	MediumUrban	-1.8563631734827886	0.6889940439791	-2.6943094642180965	0.008498310949258745	0.023777295382121116
K01588 sutt	K01588	sutt	MediumUrban	2.139376233002654	0.5514656202031145	3.879437184524185	2.0589953931312275e-4	0.0021040635326375337
K01589 sutt	K01589	sutt	MediumUrban	2.147894725151978	0.6691542132273816	3.2098650545627123	0.001874472071349661	0.008204261032874161
K01591 sutt	K01591	sutt	MediumUrban	1.6453778928847986	0.5890434057478775	2.793305004061201	0.006444958121751159	0.01922988131314475
K01599 sutt	K01599	sutt	MediumUrban	1.879975788277579	0.6622820812658632	2.838633025801118	0.005665799378817214	0.01754261160073314
K01613 sutt	K01613	sutt	MediumUrban	2.087386802463235	0.6378287338765177	3.272644663994314	0.0015412096360558564	0.007167226842673817
K01622 msi	K01622	msi	MediumUrban	-2.27521205456809	0.6780191204240555	-3.3556753578646825	0.0011852138931856607	0.006095020042494726
K01624 sutt	K01624	sutt	MediumUrban	1.9866333241489278	0.6558770963751941	3.028971944787161	0.003249430789352005	0.01197661719728657
K01627 sutt	K01627	sutt	MediumUrban	2.3994917484653655	0.6355579986334632	3.7754095670648495	2.951214474901794e-4	0.002555215150814971
K01641 msi	K01641	msi	MediumUrban	-2.049957976931831	0.6617865188950471	-3.09761217311369	0.0026437071544101105	0.0103559697638899
K01647 msi	K01647	msi	MediumUrban	-1.9837026438016467	0.6643973306459147	-2.985717359630461	0.0036947572814747145	0.013149801326145434
K01649 msi	K01649	msi	MediumUrban	-2.3132157438760785	0.7124037471921494	-3.2470572382491394	0.001669710617201102	0.007556502681578733
K01652 msi	K01652	msi	MediumUrban	-3.690260582888095	0.7092169922806447	-5.203288447758764	1.3373798910323055e-6	1.8837463489502902e-4
K01653 msi	K01653	msi	MediumUrban	-1.5954115588237985	0.5955608771657217	-2.678838755185487	0.00886830965674675	0.024524326704662036
K01657 msi	K01657	msi	MediumUrban	-1.5314628653229807	0.5500388966108748	-2.7842810295040183	0.006611328260235097	0.019554748556049398
K01658 msi	K01658	msi	MediumUrban	-1.8102841935132592	0.6791202205753384	-2.665631413506756	0.009195699996587479	0.025051443583380763
K01662 sutt	K01662	sutt	MediumUrban	1.2196521735269794	0.4919723112113108	2.479107351639384	0.015146547224114902	0.037141018476434175
K01673 sutt	K01673	sutt	MediumUrban	2.089256690981127	0.6283194184445482	3.325150599599864	0.0013060021890026405	0.006383988600158152
K01677 meye	K01677	meye	MediumUrban	-1.115150592579375	0.43428954226287225	-2.5677583364519116	0.011984573572601654	0.03076959431585602
K01677 msi	K01677	msi	MediumUrban	-2.6593411519553958	0.6742921710818245	-3.943900383254914	1.6424768461094583e-4	0.0019153645495807877
K01687 msi	K01687	msi	MediumUrban	-1.7479181069462768	0.7370726302479363	-2.3714326583505243	0.019979207095525933	0.04605081519307575
K01687 sutt	K01687	sutt	MediumUrban	1.8302839105249835	0.6172017839141885	2.965454666896189	0.003922231032127406	0.013583093312244776
