Factors	Sum Sq	Df	F value	Pr(>F)	Eta2_partial	CI	CI_low	CI_high	Year	Body_Site	Indice
Expo	0.0881267491109903	1	9.63857348214428	0.0022608663345491	0.0578411905523008	0.95	0.00778305920201201	0.141625196702145	2015	Mouth	pielou_e
Expo:Gender	0.000695608688219496	1	0.0760799135774028	0.78304452768483	0.000484350727489899	0.95	0	0.0274565555767386	2015	Mouth	pielou_e
Gender	0.0136258430323069	1	1.49028178899061	0.224002982366033	0.00940298529454776	0.95	0	0.0606321430398732	2015	Mouth	pielou_e
Residuals	1.4354717154003	157	NA	NA	NA	NA	NA	NA	2015	Mouth	pielou_e
(Intercept)	19.3204303505866	1	1987.13625349074	1.3364723463993e-84	NA	NA	NA	NA	2016	Mouth	pielou_e
Age_num	0.00299923779723055	1	0.308476263290666	0.57950313082287	0.00219855757475269	0.95	0	0.042609647941729	2016	Mouth	pielou_e
Age_num:Expo	0.0784758802229235	1	8.07136610240328	0.00516875943276212	0.0545099725548644	0.95	0.00508214995074067	0.142531978862782	2016	Mouth	pielou_e
Age_num:Gender	0.0108468937577364	1	1.11561986108172	0.292682812685134	0.00790571491788056	0.95	0	0.0610775626319568	2016	Mouth	pielou_e
Expo	0.08946218910172	1	9.2013250251061	0.00288314826775137	0.0616705315690581	0.95	0.00760395209307374	0.152542946221497	2016	Mouth	pielou_e
Expo:Gender	0.0149778108020904	1	1.54049109169327	0.216620365362931	0.0108837483875572	0.95	0	0.0683252317714735	2016	Mouth	pielou_e
Gender	0.0117590690797396	1	1.20943850895863	0.273330823854445	0.00856485601620672	0.95	0	0.0627549332823702	2016	Mouth	pielou_e
Residuals	1.36118509454527	140	NA	NA	NA	NA	NA	NA	2016	Mouth	pielou_e
(Intercept)	1079.63357950954	1	1491.64689176608	4.55349445820045e-82	NA	NA	NA	NA	2015	Mouth	shannon
Age_num	0.114942118968528	1	0.158806707892784	0.690798969579735	0.00101048557964654	0.95	0	0.0326342316598241	2015	Mouth	shannon
Age_num:Expo	1.11055922949204	1	1.53437448985838	0.217305891447379	0.00967849713852775	0.95	0	0.061279474996327	2015	Mouth	shannon
