Taxa	Domain	Phylum	Class	Order	Family	Genus	LR	Flag	No	BodySite	Year
D_0_Bacteria.D_1_Firmicutes.D_2_Clostridia.D_3_Clostridiales.D_4_Family.XI.D_5_Anaerococcus	Bacteria	Firmicutes	Clostridia	Clostridiales	Family.XI	Anaerococcus	-1.79399156847358	FALSE	17	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotella.7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella.7	-1.01307610693629	FALSE	18	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Bacteroidales.D_4_Prevotellaceae.D_5_Prevotella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	-1.48511105369405	FALSE	19	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Propionibacteriales.D_4_Nocardioidaceae.D_5_Nocardioides	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	-1.43859014371692	FALSE	20	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Streptomycetales.D_4_Streptomycetaceae.D_5_Streptomyces	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	-2.27355084995663	FALSE	21	Right_Arm	2015
D_0_Bacteria.D_1_Chloroflexi.D_2_Chloroflexia.D_3_Thermomicrobiales.D_4_JG30.KF.CM45.D_5_	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30.KF.CM45		-2.68377446072501	FALSE	22	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Micrococcales.D_4_Micrococcaceae.D_5_Glutamicibacter	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Glutamicibacter	-2.65469338126449	FALSE	23	Right_Arm	2015
D_0_Bacteria.D_1_Bacteroidetes.D_2_Bacteroidia.D_3_Sphingobacteriales.D_4_Sphingobacteriaceae.D_5_Sphingobacterium	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	-1.59679904475826	FALSE	24	Right_Arm	2015
D_0_Bacteria.D_1_Actinobacteria.D_2_Actinobacteria.D_3_Corynebacteriales.D_4_Corynebacteriaceae.D_5_	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae		-3.3417043979929	FALSE	25	Right_Arm	2015
D_0_Bacteria.D_1_Firmicutes.D_2_Bacilli.D_3_Lactobacillales.D_4_Aerococcaceae.D_5_Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	-3.0081308200699	FALSE	26	Right_Arm	2015
